"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","System/Acquirers","0","Status","4","0","","0"
"0","System/Acquirers","0","Add acquirer","11","0","","0"
"0","Header","0","User menu","5","0","","0"
"0","System/Acquirers","0","Rows Per Page","3","0","","0"
"0","System/Acquirers","0","Acquirers list","5","0","","0"
"0","Header","0","Transactions menu item","1","0","","0"
"0","System/Team","0","Status","1","0","","0"
"0","Reports","0","Generate report","2","0","","0"
"0","System/Companies and business units","0","Add company","14","0","","0"
"0","System/Companies and business units","0","Add business unit","5","0","","0"
"0","System/Team","0","Add user","5","0","","0"
"0","Transactions","0","Status","2","0","","0"
"0","System/Acquirers","0","Select acquirer","1","0","","0"
"0","Transactions","0","Number of lines per page field","1","0","","0"
"0","Transactions","0","Currency","4","0","","0"
"0","Transactions","0","Business unit","1","0","","0"
"0","Transactions","0","Export table data","3","0","","0"
"0","System/Team","0","Edit user","6","0","","0"
"0","Companies and business units","0","Add business unit","1","0","","0"
"0","Login","0","Remember me","2","0","","0"
"0","Header","0","Logo","2","0","","0"
"0","Login","0","Navigation","5","0","","0"
"0","Header","0","Log Out","1","0","","0"
"0","Reports","0","Navigation","1","0","","0"
"0","System/Companies and business units","0","Edit business unit","5","0","","0"
"0","Transactions","0","Navigation","1","0","","0"
"0","System/Gateway","0","Currency","3","0","","0"
"0","Transactions","0","Amount","5","0","","0"
"0","Companies and business units","0","Reset filter","1","0","","0"
"0","System/Acquirers","0","Edit acquirers","1","0","","0"
"0","Transactions","0","Transactions table header","1","0","","0"
"0","Transactions","0","Selector rows options","1","0","","0"
"0","Transactions","0","Settings","1","0","","0"
"0","Dashboard","0","Data range","1","0","","0"
"0","Reports","0","Data range","1","0","","0"
"0","Dashboard","0","Navigation","1","0","","0"
"0","Transactions","0","Pagination","1","0","","0"
"0","Transactions","0","Data range","1","0","","0"
"0","Transactions","0","Panel","1","0","","0"
"0","System/Team","0","Navigation","1","0","","0"
"0","System/Companies and business units","0","Edit company","1","0","","0"
